category,key_words,word1,word2,word3,word4,word5,difficulty
Words That Follow "High",high,Altitude,Voltage,Society,Fidelity,Horse,62
Words That Follow "Under",under,Cover,Dog,Estimate,Statement,Ground,58
Words That Follow "Deep",deep,Freeze,Space,Dish,Voice,Dive,60
Words That Follow "Dead",dead,Lock,Beat,Ring,Zone,Line,57
Words That Follow "Cold",cold,Shoulder,Snap,Front,War,Case,54
Words That Follow "Hot",hot,Wire,Seat,Spot,Shot,Dog,50
Words That Follow "Full",full,House,Circle,Moon,Stop,Throttle,59
Words That Follow "Silent",silent,Partner,Hill,Film,Auction,Night,63
Words That Follow "Fifth",fifth,Gear,Harmony,Dimension,Wheel,Avenue,64
Words That Follow "Gold",gold,Digger,Rush,Coin,Standard,Medal,55
Words That Follow "Silver",silver,Bullet,Spoon,Lining,Medal,Fox,56
Words That Follow "Paper",paper,Cut,Tiger,Clip,Plane,Bag,52
Words That Follow "Chicken",chicken,Wire,Feed,Scratch,Coop,Nugget,61
Words That Follow "Black",black,Ice,Market,Belt,Box,Hole,53
Words That Follow "White",white,Elephant,Noise,Paper,Lie,House,45
Words That Follow "Green",green,Room,Thumb,Beret,Light,Card,58
Words That Follow "Blue",blue,Book,Cheese,Blood,Collar,Print,54
Words That Follow "Red",red,Tape,Herring,Alert,Carpet,Hot,51
Words That Follow "Pink",pink,Slip,Noise,Lemonade,Salmon,Eye,48
Words That Follow "Cross",cross,Fire,Country,Section,Word,Check,62
Words That Follow "Break",break,Even,Away,Fast,Down,Through,56
Words That Follow "Out",out,Patient,Going,Burst,Standing,Side,58
Words That Follow "In",in,Put,Tern,Side,Let,Sight,46
Words That Follow "Over",over,Ride,Turn,Cast,Come,Load,47
Words That Follow "Off",off,Shore,Chance,Spring,Guard,Line,49
Words That Follow "On",on,Set,Going,Coming,Board,Hold,43
Words That Follow "Stand",stand,Still,By,Off,Out,Point,56
Words That Follow "Stage",stage,Left,Fright,Name,Door,Coach,60
Words That Follow "Bottle",bottle,Nose,Rocket,Neck,Opener,Feed,61
Words That Follow "Door",door,Knob,Step,Mat,Frame,Man,44
Words That Follow "Window",window,Sill,Dressing,Shopping,Frame,Pane,41
Words That Follow "Iron",iron,Clad,Fist,Ore,Will,Man,53
Words That Follow "Stone",stone,Cold,Sober,Age,Throw,Wall,50
Words That Follow "Storm",storm,Drain,Chaser,Warning,Surge,Trooper,59
Words That Follow "Rain",rain,Check,Drop,Forest,Fall,Bow,45
Words That Follow "Snow",snow,Drift,Ball,Leopard,Storm,Flake,47
Words That Follow "Wind",wind,Shield,Chill,Storm,Sock,Mill,53
Words That Follow "Light",light,Bulb,Year,Weight,Meal,House,42
Words That Follow "Dark",dark,Horse,Age,Side,Matter,Room,57
Words That Follow "Middle",middle,Earth,Man,Child,Class,Name,58
Words That Follow "Young",young,Gun,Adult,Blood,Generation,Money,62
Words That Follow "Low",low,Blow,Rider,Ball,Tide,Profile,51
Words That Follow "Long",long,Shot,Jump,Haul,Term,Island,57
Words That Follow "Short",short,Stack,Story,Circuit,Change,List,43
Words That Follow "Strong",strong,Hold,Arm,Point,Suit,Bond,66
Words That Follow "Weak",weak,Link,Point,Spot,Side,Tea,44
Words That Follow "Tough",tough,Call,Crowd,Nut,Guy,Luck,61
Words That Follow "Soft",soft,Copy,Skill,Tissue,Drink,Spot,52
Words That Follow "Big",big,Deal,Fish,Shot,Data,Bang,53
Words That Follow "Small",small,Talk,Fry,Print,Scale,Change,40
Words That Follow "Early",early,Bird,Stage,Riser,Adopter,Warning,54
Words That Follow "Late",late,Comer,Bloomer,Show,Fee,Night,50
Words That Follow "Final",final,Cut,Draft,Countdown,Answer,Say,58
